,Sex,Ticket,Age,Fare,Name,PassengerId,Title,Title_n,Cabin,Pclass,Fare_,Pclass_,Family,Family_,Age_,SibSp,Embarked,Parch,Survived
19,1,243,36.99411764705882,7.225,760,20,13,2.0,186,3,1,1,0,2,0,0,0,0,1.0
20,0,182,35.0,26.0,423,21,12,1.0,186,2,5,2,0,2,0,0,2,0,0.0
21,0,203,34.0,13.0,112,22,12,1.0,143,2,3,2,0,2,0,0,2,0,1.0
22,1,379,15.0,8.0292,778,23,9,2.0,186,3,3,1,0,2,4,0,1,0,1.0
23,0,54,28.0,35.5,1111,24,12,1.0,17,1,0,3,0,2,0,0,2,0,1.0
24,1,541,8.0,21.075,917,25,9,2.0,186,3,4,1,4,1,1,3,2,1,0.0
25,1,454,38.0,31.3875,64,26,13,2.0,186,3,5,1,6,2,0,1,2,5,1.0
26,0,238,32.25215146299484,7.225,371,27,12,1.0,186,3,1,1,0,2,0,0,0,0,0.0
27,0,123,19.0,263.0,404,28,12,1.0,80,1,0,3,5,1,4,3,2,2,0.0
28,1,385,21.774238095238097,7.8792,885,29,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
29,0,499,32.25215146299484,7.8958,1186,30,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
30,0,818,40.0,27.7208,1205,31,2,0.0,186,1,5,3,0,2,0,0,0,0,0.0
31,1,802,36.99411764705882,146.5208,1131,32,13,2.0,54,1,0,3,1,3,0,1,0,0,1.0
32,1,397,21.774238095238097,7.75,446,33,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
33,0,751,66.0,10.5,1251,34,12,1.0,186,2,3,2,0,2,3,0,2,0,0.0
34,0,820,28.0,82.1708,793,35,12,1.0,186,1,0,3,1,3,0,1,0,0,0.0
35,0,55,42.0,52.0,554,36,12,1.0,186,1,0,3,1,3,0,1,2,0,0.0
36,0,272,32.25215146299484,7.2292,750,37,12,1.0,186,3,1,1,0,2,0,0,0,0,1.0
37,0,706,21.0,8.05,194,38,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
38,1,418,18.0,18.0,1214,39,9,2.0,186,3,4,1,2,3,4,2,2,0,0.0
39,1,245,14.0,11.2417,862,40,9,2.0,186,3,3,1,1,3,4,1,0,0,1.0
40,1,695,40.0,9.475,12,41,13,2.0,186,3,3,1,1,3,0,1,2,0,0.0
41,1,69,27.0,21.0,1204,42,13,2.0,186,2,4,2,1,3,0,1,2,0,0.0
42,0,536,32.25215146299484,7.8958,662,43,12,1.0,186,3,1,1,0,2,0,0,0,0,0.0
43,1,868,3.0,41.5792,678,44,9,2.0,186,2,0,2,3,3,1,1,0,2,1.0
44,1,384,19.0,7.8792,325,45,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
45,0,840,32.25215146299484,8.05,1015,46,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
46,0,637,32.25215146299484,15.5,698,47,12,1.0,186,3,3,1,1,3,0,1,1,0,0.0
47,1,100,21.774238095238097,7.75,884,48,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
48,0,256,32.25215146299484,21.6792,1065,49,12,1.0,186,3,4,1,2,3,0,2,0,0,0.0
49,1,520,18.0,17.8,52,50,13,2.0,186,3,4,1,1,3,4,1,2,0,0.0
50,0,335,7.0,39.6875,920,51,8,1.0,186,3,0,1,5,1,1,4,2,1,0.0
51,0,718,21.0,7.8,871,52,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
52,1,803,49.0,76.7292,500,53,13,2.0,129,1,0,3,1,3,2,1,0,0,1.0
53,1,324,29.0,26.0,381,54,13,2.0,186,2,5,2,1,3,0,1,2,0,1.0
54,0,39,65.0,61.9792,907,55,12,1.0,32,1,0,3,1,3,3,0,0,1,0.0
55,0,122,32.25215146299484,35.5,1281,56,12,1.0,92,1,0,3,0,2,0,0,2,0,1.0
56,1,758,21.0,10.5,1031,57,9,2.0,186,2,3,2,0,2,4,0,2,0,1.0
57,0,292,28.5,7.2292,873,58,12,1.0,186,3,1,1,0,2,0,0,0,0,0.0
58,1,768,5.0,27.75,1247,59,9,2.0,186,2,5,2,3,3,1,1,2,2,1.0
59,0,775,11.0,46.9,457,60,8,1.0,186,3,0,1,7,0,1,5,2,2,0.0
60,0,263,22.0,7.2292,1095,61,12,1.0,186,3,1,1,0,2,4,0,0,0,0.0
61,1,42,38.0,80.0,571,62,9,2.0,30,1,0,3,0,2,0,0,2,0,1.0
62,0,630,45.0,83.475,504,63,12,1.0,105,1,0,3,1,3,0,1,2,0,0.0
63,0,464,4.0,27.9,1101,64,8,1.0,186,3,5,1,5,1,1,3,2,2,0.0
64,0,821,32.25215146299484,27.7208,1143,65,12,1.0,186,1,5,3,0,2,0,0,0,0,0.0
65,0,255,5.482641509433963,15.2458,824,66,8,1.0,186,3,3,1,2,3,1,1,0,1,1.0
66,1,755,29.0,10.5,874,67,13,2.0,181,2,3,2,0,2,0,0,2,0,1.0
67,0,849,19.0,8.1583,278,68,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
68,1,334,17.0,7.925,34,69,9,2.0,186,3,1,1,6,2,4,4,2,2,1.0
69,0,363,26.0,8.6625,652,70,12,1.0,186,3,3,1,2,3,0,2,2,0,0.0
70,0,762,32.0,10.5,587,71,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
71,1,775,16.0,46.9,459,72,9,2.0,186,3,0,1,7,0,4,5,2,2,0.0
72,0,847,21.0,73.5,558,73,12,1.0,186,2,0,2,0,2,4,0,2,0,0.0
73,0,275,26.0,14.4542,236,74,12,1.0,186,3,3,1,1,3,0,1,0,0,0.0
74,0,104,32.0,56.4958,121,75,12,1.0,186,3,0,1,0,2,0,0,2,0,1.0
75,0,481,25.0,7.65,809,76,12,1.0,179,3,1,1,0,2,0,0,2,0,0.0
76,0,491,32.25215146299484,7.8958,1134,77,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
77,0,650,32.25215146299484,8.05,828,78,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
78,0,211,0.83,29.0,184,79,8,1.0,186,2,5,2,2,3,1,0,2,2,1.0
79,1,593,30.0,12.475,343,80,9,2.0,186,3,3,1,0,2,0,0,2,0,1.0
80,0,420,22.0,9.0,1223,81,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
81,0,430,29.0,9.5,1081,82,12,1.0,186,3,3,1,0,2,0,0,2,0,1.0
82,1,382,21.774238095238097,7.7875,774,83,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
83,0,35,28.0,47.1,205,84,12,1.0,186,1,0,3,0,2,0,0,2,0,0.0
84,1,871,17.0,10.5,572,85,9,2.0,186,2,3,2,0,2,4,0,2,0,1.0
85,1,333,33.0,15.85,77,86,13,2.0,186,3,3,1,3,3,0,3,2,0,1.0
86,0,924,16.0,34.375,398,87,12,1.0,186,3,0,1,4,1,4,1,2,3,0.0
87,0,894,32.25215146299484,8.05,1110,88,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
88,1,123,23.0,263.0,403,89,9,2.0,80,1,0,3,5,1,4,3,2,2,1.0
89,0,411,24.0,8.05,218,90,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
90,0,412,29.0,8.05,233,91,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
91,0,471,20.0,7.8542,42,92,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
92,0,926,46.0,61.175,219,93,12,1.0,154,1,0,3,1,3,2,1,2,0,0.0
93,0,750,26.0,20.575,317,94,12,1.0,186,3,4,1,3,3,0,1,2,2,0.0
94,0,589,59.0,7.25,276,95,12,1.0,186,3,1,1,0,2,2,0,2,0,0.0
95,0,652,32.25215146299484,8.05,1085,96,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
96,0,830,71.0,34.6542,449,97,12,1.0,16,1,0,3,0,2,3,0,0,0,0.0
97,0,835,23.0,63.3583,469,98,12,1.0,118,1,0,3,1,3,4,0,0,1,1.0
98,1,149,34.0,23.0,337,99,13,2.0,186,2,4,2,1,3,0,0,2,1,1.0
99,0,199,34.0,26.0,620,100,12,1.0,186,2,5,2,1,3,0,1,2,0,0.0
100,1,528,28.0,7.8958,958,101,9,2.0,186,3,1,1,0,2,0,0,2,0,0.0
101,0,498,32.25215146299484,7.8958,960,102,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
102,0,574,21.0,77.2875,1254,103,12,1.0,126,1,0,3,1,3,4,0,2,1,0.0
103,0,693,33.0,8.6542,597,104,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
104,0,331,37.0,7.925,475,105,12,1.0,186,3,1,1,2,3,0,2,2,0,0.0
105,0,490,28.0,7.8958,804,106,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
106,1,409,21.0,7.65,1060,107,9,2.0,186,3,1,1,0,2,4,0,2,0,1.0
107,0,341,32.25215146299484,7.775,823,108,12,1.0,186,3,1,1,0,2,0,0,2,0,1.0
108,0,532,38.0,7.8958,985,109,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
109,1,646,21.774238095238097,24.15,816,110,9,2.0,186,3,5,1,1,3,4,1,1,0,1.0
110,0,2,47.0,52.0,974,111,12,1.0,66,1,0,3,0,2,2,0,2,0,0.0
111,1,259,14.5,14.4542,1291,112,9,2.0,186,3,3,1,1,3,4,1,0,0,0.0
112,0,370,22.0,8.05,95,113,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
113,1,674,20.0,9.825,615,114,9,2.0,186,3,3,1,1,3,4,1,2,0,0.0
114,1,235,17.0,14.4583,70,115,9,2.0,186,3,3,1,0,2,4,0,0,0,0.0
115,0,910,21.0,7.925,943,116,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
116,0,635,70.5,7.75,262,117,12,1.0,186,3,1,1,0,2,3,0,1,0,0.0
117,0,69,29.0,21.0,1203,118,12,1.0,186,2,4,2,1,3,0,1,2,0,0.0
118,0,800,24.0,247.5208,98,119,12,1.0,48,1,0,3,1,3,4,0,0,1,0.0
119,1,459,2.0,31.275,33,120,9,2.0,186,3,5,1,6,2,1,4,2,2,0.0
120,0,847,21.0,73.5,536,121,12,1.0,186,2,0,2,2,3,4,2,2,0,0.0
121,0,738,32.25215146299484,8.05,815,122,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
122,0,174,32.5,30.0708,846,123,12,1.0,186,2,5,2,1,3,0,1,0,0,0.0
123,1,297,32.5,13.0,1237,124,9,2.0,148,2,3,2,0,2,0,0,2,0,1.0
124,0,574,54.0,77.2875,1253,125,12,1.0,126,1,0,3,1,3,2,0,2,1,0.0
125,0,245,12.0,11.2417,861,126,8,1.0,186,3,3,1,1,3,1,1,0,0,1.0
126,0,638,32.25215146299484,7.75,781,127,12,1.0,186,3,1,1,0,2,0,0,1,0,0.0
127,0,742,24.0,7.1417,738,128,12,1.0,186,3,1,1,0,2,4,0,2,0,1.0
128,1,262,21.774238095238097,22.3583,954,129,9,2.0,177,3,4,1,2,3,4,1,0,1,1.0
129,0,438,45.0,6.975,364,130,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
130,0,524,33.0,7.8958,347,131,12,1.0,186,3,1,1,0,2,0,0,0,0,0.0
131,0,876,20.0,7.05,244,132,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
132,1,735,47.0,14.5,1012,133,13,2.0,186,3,3,1,1,3,2,1,2,0,0.0
133,1,143,29.0,26.0,1241,134,13,2.0,186,2,5,2,1,3,0,1,2,0,1.0
134,0,754,25.0,13.0,1123,135,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
135,0,859,23.0,15.0458,998,136,12,1.0,186,2,3,2,0,2,4,0,0,0,0.0
136,1,71,19.0,26.2833,858,137,9,2.0,139,1,5,3,2,3,4,0,2,2,1.0
137,0,65,37.0,53.1,421,138,12,1.0,70,1,0,3,1,3,0,1,2,0,0.0
138,0,691,16.0,9.2167,904,139,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
139,0,810,24.0,79.2,436,140,12,1.0,58,1,0,3,0,2,4,0,0,0,0.0
140,1,273,36.99411764705882,15.2458,140,141,13,2.0,186,3,3,1,2,3,0,0,0,2,0.0
141,1,458,22.0,7.75,875,142,9,2.0,186,3,1,1,0,2,4,0,2,0,1.0
142,1,913,24.0,15.85,483,143,13,2.0,186,3,3,1,1,3,4,1,2,0,1.0
143,0,602,19.0,6.75,170,144,12,1.0,186,3,1,1,0,2,4,0,1,0,0.0
144,0,150,18.0,11.5,43,145,12,1.0,186,2,3,2,0,2,4,0,2,0,0.0
145,0,763,19.0,36.75,859,146,12,1.0,186,2,0,2,2,3,4,1,2,1,0.0
146,0,553,27.0,7.7958,39,147,12,1.0,186,3,1,1,0,2,0,0,2,0,1.0
147,1,924,9.0,34.375,395,148,9,2.0,186,3,0,1,4,1,1,2,2,2,0.0
148,0,145,36.5,26.0,852,149,12,1.0,180,2,5,2,2,3,0,0,2,2,0.0
149,0,194,42.0,13.0,176,150,15,0.0,186,2,3,2,0,2,0,0,2,0,0.0
150,0,848,51.0,12.525,96,151,15,0.0,186,2,3,2,0,2,2,0,2,0,0.0
151,1,46,22.0,66.6,940,152,13,2.0,78,1,0,3,1,3,4,1,2,0,1.0
152,0,709,55.5,8.05,790,153,12,1.0,186,3,3,1,0,2,2,0,2,0,0.0
153,0,736,40.5,14.5,1305,154,12,1.0,186,3,3,1,2,3,0,0,2,2,0.0
154,0,786,32.25215146299484,7.3125,895,155,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
155,0,814,51.0,61.3792,1270,156,12,1.0,186,1,0,3,1,3,2,0,0,1,0.0
156,1,575,16.0,7.7333,444,157,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
157,0,896,30.0,8.05,270,158,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
158,0,345,32.25215146299484,8.6625,1113,159,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
159,0,778,5.482641509433963,69.55,1047,160,8,1.0,186,3,0,1,10,0,1,8,2,2,0.0
160,0,647,44.0,16.1,280,161,12,1.0,186,3,4,1,1,3,0,0,2,1,0.0
161,1,764,40.0,15.75,1236,162,13,2.0,186,2,3,2,0,2,0,0,2,0,1.0
162,0,445,26.0,7.775,114,163,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
163,0,357,17.0,8.6625,187,164,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
164,0,335,1.0,39.6875,919,165,8,1.0,186,3,0,1,5,1,1,4,2,1,0.0
165,0,583,9.0,20.525,450,166,8,1.0,186,3,4,1,2,3,1,0,2,2,1.0
166,1,38,36.99411764705882,55.0,230,167,13,2.0,155,1,0,3,1,3,0,0,2,1,1.0
167,1,464,45.0,27.9,1106,168,13,2.0,186,3,5,1,5,1,0,1,2,4,0.0
168,0,790,32.25215146299484,25.925,97,169,12,1.0,186,1,5,3,0,2,0,0,2,0,0.0
169,0,104,28.0,56.4958,716,170,12,1.0,186,3,0,1,0,2,0,0,2,0,0.0
170,0,8,61.0,33.5,1209,171,12,1.0,25,1,0,3,0,2,3,0,2,0,0.0
171,0,659,4.0,29.125,993,172,8,1.0,186,3,5,1,5,1,1,4,1,1,0.0
172,1,477,1.0,11.1333,601,173,9,2.0,186,3,3,1,2,3,1,1,2,1,1.0
173,0,902,21.0,7.925,1098,174,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
174,0,115,56.0,30.6958,1115,175,12,1.0,18,1,5,3,0,2,2,0,0,0,0.0
175,0,564,18.0,7.8542,659,176,12,1.0,186,3,1,1,2,3,4,1,2,1,0.0
176,0,671,5.482641509433963,25.4667,687,177,8,1.0,186,3,5,1,4,1,1,3,2,1,0.0
177,1,812,50.0,28.7125,576,178,9,2.0,89,1,5,3,0,2,2,0,0,0,0.0
178,0,225,30.0,13.0,484,179,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
179,0,787,36.0,0.0,699,180,12,1.0,186,3,2,1,0,2,0,0,2,0,0.0
180,1,778,21.774238095238097,69.55,1050,181,9,2.0,186,3,0,1,10,0,4,8,2,2,0.0
181,0,858,32.25215146299484,15.05,949,182,12,1.0,186,2,3,2,0,2,0,0,0,0,0.0
182,0,454,9.0,31.3875,58,183,8,1.0,186,3,5,1,6,2,1,4,2,2,0.0
183,0,146,1.0,39.0,106,184,8,1.0,183,2,0,2,3,3,1,2,2,1,1.0
184,1,365,4.0,22.025,653,185,9,2.0,186,3,4,1,2,3,1,0,2,2,1.0
185,0,44,32.25215146299484,50.0,1018,186,12,1.0,13,1,0,3,0,2,0,0,2,0,0.0
186,1,633,36.99411764705882,15.5,879,187,13,2.0,186,3,3,1,1,3,0,1,1,0,1.0
187,0,14,45.0,26.55,1016,188,12,1.0,186,1,5,3,0,2,0,0,2,0,1.0
188,0,596,40.0,15.5,142,189,12,1.0,186,3,3,1,2,3,0,1,1,1,0.0
189,0,530,36.0,7.8958,1200,190,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
190,1,156,32.0,13.0,968,191,13,2.0,186,2,3,2,0,2,0,0,2,0,1.0
191,0,310,19.0,13.0,197,192,12,1.0,186,2,3,2,0,2,4,0,2,0,0.0
192,1,555,19.0,7.8542,29,193,9,2.0,186,3,1,1,1,3,4,1,2,0,1.0
193,0,145,3.0,26.0,851,194,8,1.0,180,2,5,2,2,3,1,1,2,1,1.0
194,1,826,44.0,27.7208,162,195,13,2.0,38,1,5,3,0,2,0,0,0,0,1.0
195,1,802,58.0,146.5208,732,196,9,2.0,56,1,0,3,0,2,2,0,0,0,1.0
196,0,624,32.25215146299484,7.75,791,197,12,1.0,186,3,1,1,0,2,0,0,1,0,0.0
197,0,677,42.0,8.4042,894,198,12,1.0,186,3,3,1,1,3,0,0,2,1,0.0
198,1,636,21.774238095238097,7.75,736,199,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
199,1,215,24.0,13.0,1290,200,9,2.0,186,2,3,2,0,2,4,0,2,0,0.0
200,0,423,28.0,9.5,1211,201,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
201,0,778,32.25215146299484,69.55,1054,202,12,1.0,186,3,0,1,10,0,0,8,2,2,0.0
202,0,327,34.0,6.4958,594,203,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
203,0,236,45.5,7.225,1287,204,12,1.0,186,3,1,1,0,2,2,0,0,0,0.0
204,0,728,18.0,8.05,245,205,12,1.0,186,3,3,1,0,2,4,0,2,0,1.0
205,1,436,2.0,10.4625,1153,206,9,2.0,184,3,3,1,1,3,1,0,2,1,0.0
206,0,333,32.0,15.85,76,207,12,1.0,186,3,3,1,1,3,0,1,2,0,0.0
207,0,294,26.0,18.7875,15,208,12,1.0,186,3,4,1,0,2,0,0,0,0,1.0
208,1,613,16.0,7.75,203,209,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
209,0,21,40.0,31.0,131,210,12,1.0,12,1,5,3,0,2,0,0,0,0,1.0
210,0,880,24.0,7.05,19,211,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
211,1,781,35.0,21.0,189,212,9,2.0,186,2,4,2,0,2,0,0,2,0,1.0
212,0,723,22.0,7.25,948,213,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
213,0,218,30.0,13.0,445,214,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
214,0,611,32.25215146299484,7.75,647,215,12,1.0,186,3,1,1,1,3,0,1,1,0,0.0
215,1,573,31.0,113.275,855,216,9,2.0,132,1,0,3,1,3,0,1,0,0,1.0
216,1,915,27.0,7.925,557,217,9,2.0,186,3,1,1,0,2,0,0,2,0,1.0
217,0,189,42.0,27.0,579,218,12,1.0,186,2,5,2,1,3,0,1,2,0,0.0
218,1,81,32.0,76.2917,100,219,9,2.0,120,1,0,3,0,2,0,0,0,0,1.0
219,0,927,30.0,10.5,505,220,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
220,0,895,16.0,8.05,1155,221,12,1.0,186,3,3,1,0,2,4,0,2,0,1.0
221,0,136,27.0,13.0,148,222,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
222,0,133,51.0,8.05,467,223,12,1.0,186,3,3,1,0,2,2,0,2,0,0.0
223,0,517,32.25215146299484,7.8958,853,224,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
224,0,121,38.0,90.0,564,225,12,1.0,113,1,0,3,1,3,0,1,2,0,1.0
225,0,838,22.0,9.35,116,226,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
226,0,918,19.0,10.5,789,227,12,1.0,186,2,3,2,0,2,4,0,2,0,1.0
227,0,722,20.5,7.25,727,228,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
228,0,160,18.0,13.0,377,229,12,1.0,186,2,3,2,0,2,4,0,2,0,0.0
229,1,671,21.774238095238097,25.4667,690,230,9,2.0,186,3,5,1,4,1,4,3,2,1,0.0
230,1,630,35.0,83.475,506,231,13,2.0,105,1,0,3,1,3,0,1,2,0,1.0
231,0,444,29.0,7.775,682,232,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
232,0,167,59.0,13.5,1100,233,12,1.0,186,2,3,2,0,2,2,0,2,0,0.0
233,1,454,5.0,31.3875,61,234,9,2.0,186,3,5,1,6,2,1,4,2,2,1.0
234,0,756,24.0,10.5,704,235,12,1.0,186,2,3,2,0,2,4,0,2,0,0.0
235,1,925,21.774238095238097,7.55,496,236,9,2.0,186,3,1,1,0,2,4,0,2,0,0.0
236,0,265,44.0,26.0,550,237,12,1.0,186,2,5,2,1,3,0,1,2,0,0.0
237,1,761,8.0,26.25,253,238,9,2.0,186,2,5,2,2,3,1,0,2,2,1.0
238,0,314,19.0,10.5,947,239,12,1.0,186,2,3,2,0,2,4,0,2,0,0.0
239,0,870,33.0,12.275,568,240,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
240,1,259,21.774238095238097,14.4542,1292,241,9,2.0,186,3,3,1,1,3,4,1,0,0,0.0
241,1,612,21.774238095238097,15.5,833,242,9,2.0,186,3,3,1,1,3,4,1,1,0,1.0
242,0,921,29.0,10.5,249,243,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
243,0,901,22.0,7.125,739,244,12,1.0,186,3,1,1,0,2,4,0,2,0,0.0
244,0,289,30.0,7.225,71,245,12,1.0,186,3,1,1,0,2,0,0,0,0,0.0
245,0,120,44.0,90.0,799,246,4,1.3489623366641046,102,1,0,3,2,3,0,2,1,0,0.0
246,1,448,25.0,7.775,706,247,9,2.0,186,3,1,1,0,2,0,0,2,0,0.0
247,1,221,24.0,14.5,486,248,13,2.0,186,2,3,2,2,3,4,0,2,2,1.0
248,0,70,37.0,52.5542,110,249,12,1.0,131,1,0,3,2,3,0,1,2,1,1.0
249,0,191,54.0,26.0,212,250,15,0.0,186,2,5,2,1,3,2,1,2,0,0.0
250,0,581,32.25215146299484,7.25,983,251,12,1.0,186,3,1,1,0,2,0,0,2,0,0.0
251,1,436,29.0,10.4625,1154,252,13,2.0,184,3,3,1,2,3,0,1,2,1,0.0
252,0,41,62.0,26.55,1139,253,12,1.0,108,1,5,3,0,2,3,0,2,0,0.0
253,0,734,30.0,16.1,719,254,12,1.0,186,3,4,1,1,3,0,1,2,0,0.0
254,1,632,41.0,20.2125,1021,255,13,2.0,186,3,4,1,2,3,0,0,2,2,0.0
255,1,244,29.0,15.2458,1195,256,13,2.0,186,3,3,1,2,3,0,0,0,2,1.0
256,1,806,36.99411764705882,79.2,1181,257,13,2.0,186,1,0,3,0,2,0,0,0,0,1.0
257,1,0,30.0,86.5,228,258,9,2.0,53,1,0,3,0,2,0,0,2,0,1.0
258,1,831,35.0,512.3292,1226,259,9,2.0,186,1,0,3,0,2,0,0,0,0,1.0
259,1,147,50.0,26.0,928,260,13,2.0,186,2,5,2,1,3,2,0,2,1,1.0
260,0,664,32.25215146299484,7.75,1118,261,12,1.0,186,3,1,1,0,2,0,0,1,0,0.0
261,0,454,3.0,31.3875,59,262,8,1.0,186,3,5,1,6,2,1,4,2,2,1.0
262,0,1,52.0,79.65,1166,263,12,1.0,170,1,0,3,2,3,2,1,2,1,0.0
263,0,20,40.0,0.0,507,264,12,1.0,59,1,2,3,0,2,0,0,2,0,0.0
264,1,656,21.774238095238097,7.75,528,265,9,2.0,186,3,1,1,0,2,4,0,1,0,0.0
265,0,748,36.0,10.5,984,266,12,1.0,186,2,3,2,0,2,0,0,2,0,0.0
266,0,335,16.0,39.6875,922,267,12,1.0,186,3,0,1,5,1,4,4,2,1,0.0
267,0,460,25.0,7.775,951,268,12,1.0,186,3,1,1,1,3,0,1,2,0,1.0
268,1,805,58.0,153.4625,466,269,13,2.0,72,1,0,3,1,3,2,0,2,1,1.0
269,1,836,35.0,135.6333,127,270,9,2.0,116,1,0,3,0,2,0,0,2,0,1.0
270,0,62,32.25215146299484,31.0,182,271,12,1.0,186,1,5,3,0,2,0,0,2,0,0.0
271,0,787,25.0,0.0,1191,272,12,1.0,186,3,2,1,0,2,0,0,2,0,1.0
272,1,217,41.0,19.5,788,273,13,2.0,186,2,4,2,1,3,0,0,2,1,1.0
273,0,813,37.0,29.7,848,274,12,1.0,69,1,5,3,1,3,0,0,0,1,0.0
274,1,641,21.774238095238097,7.75,519,275,9,2.0,186,3,1,1,0,2,4,0,1,0,1.0
275,1,92,63.0,77.9583,45,276,9,2.0,145,1,0,3,1,3,3,1,2,0,1.0
276,1,450,45.0,7.75,707,277,9,2.0,186,3,1,1,0,2,0,0,2,0,0.0
277,0,178,32.25215146299484,0.0,926,278,12,1.0,186,2,2,2,0,2,0,0,2,0,0.0
278,0,659,7.0,29.125,994,279,8,1.0,186,3,5,1,5,1,1,4,1,1,0.0
279,1,753,35.0,20.25,3,280,13,2.0,186,3,4,1,2,3,0,1,2,1,1.0
