Id,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,RainTomorrow
90355,19.5,28.2,0.0,,,35.0,22.0,24.0,59.0,52.0,1018.8,,,26.7,0,0
8151,19.8,38.4,0.0,12.6,,26.0,19.0,9.0,35.0,10.0,1008.4,1.0,1.0,29.4,0,0
80240,10.3,17.0,0.0,2.8,8.9,46.0,19.0,22.0,70.0,49.0,1016.4,1.0,5.0,12.0,0,0
22406,11.6,19.1,0.0,2.8,4.4,63.0,17.0,28.0,63.0,62.0,1007.1,7.0,6.0,16.7,0,1
18248,11.0,21.3,0.0,,,31.0,15.0,13.0,54.0,40.0,1010.9,,,16.1,0,0
132929,20.7,25.2,0.0,8.2,4.3,56.0,11.0,33.0,69.0,33.0,1004.6,7.0,3.0,22.6,0,1
135187,13.5,21.9,0.0,,,44.0,17.0,20.0,65.0,47.0,,1.0,1.0,16.3,0,1
61996,10.9,19.3,0.0,2.2,0.7,20.0,13.0,9.0,83.0,60.0,1022.7,5.0,7.0,13.9,0,0
72892,18.6,35.6,0.0,5.2,6.6,52.0,19.0,24.0,44.0,33.0,997.9,7.0,7.0,23.6,0,0
101250,8.8,28.2,0.0,5.4,5.1,54.0,28.0,20.0,42.0,31.0,1013.9,5.0,8.0,20.9,0,0
110377,17.2,19.4,0.1,4.8,8.4,,30.0,26.0,53.0,57.0,1017.8,6.0,6.0,17.8,0,0
107521,4.1,15.5,0.0,,,35.0,20.0,20.0,73.0,25.0,1029.2,,,8.3,0,0
57095,6.1,13.1,0.2,,,35.0,19.0,11.0,85.0,65.0,1033.4,5.0,1.0,6.7,0,0
98811,9.3,15.0,1.8,,,44.0,9.0,15.0,91.0,70.0,1014.7,,,10.5,1,1
76483,13.7,17.1,3.8,4.0,3.1,39.0,15.0,13.0,99.0,99.0,1012.8,8.0,8.0,14.1,1,1
141368,26.5,33.3,0.4,7.6,8.4,31.0,11.0,22.0,76.0,56.0,1006.3,7.0,7.0,29.1,0,0
111987,8.3,24.6,0.0,,,41.0,17.0,20.0,45.0,41.0,1017.7,,,18.9,0,0
139798,24.8,32.0,5.8,3.0,10.0,35.0,26.0,26.0,78.0,55.0,1009.1,6.0,5.0,26.9,1,1
112154,7.7,15.4,3.0,,,22.0,0.0,13.0,99.0,74.0,1028.1,,,10.7,1,1
94577,14.4,23.6,0.0,3.2,10.9,35.0,2.0,15.0,51.0,47.0,1016.3,1.0,1.0,19.4,0,0
75698,8.2,15.7,4.2,2.0,4.3,46.0,22.0,22.0,61.0,91.0,1008.9,6.0,8.0,14.0,1,1
1992,-1.5,14.6,0.0,,,24.0,6.0,11.0,76.0,42.0,1032.3,,,4.5,0,0
118817,17.8,26.4,0.0,4.8,8.4,39.0,17.0,22.0,39.0,59.0,1014.0,2.0,2.0,23.3,0,1
58075,14.9,20.7,0.0,,,48.0,30.0,24.0,50.0,58.0,1022.9,1.0,7.0,18.6,0,1
122075,10.9,20.3,9.0,2.6,7.6,24.0,0.0,7.0,99.0,59.0,1015.2,5.0,2.0,13.4,1,0
21558,17.8,24.1,2.0,5.4,7.5,35.0,11.0,19.0,86.0,65.0,1015.3,6.0,7.0,20.3,1,1
33970,22.3,25.0,0.0,7.4,7.2,57.0,26.0,33.0,83.0,76.0,1018.5,3.0,7.0,22.9,0,0
48744,1.8,14.5,0.0,,,33.0,9.0,17.0,66.0,55.0,1015.8,1.0,1.0,8.7,0,1
73350,4.3,21.7,0.0,,,24.0,2.0,11.0,74.0,41.0,1023.4,,,11.1,0,0
91961,17.9,26.8,11.4,,,41.0,17.0,33.0,76.0,72.0,1009.4,,,23.6,1,1
142659,23.2,34.5,0.0,7.0,,33.0,20.0,20.0,83.0,52.0,1003.4,7.0,4.0,26.2,0,0
105277,6.9,10.4,14.5,3.3,0.0,72.0,43.0,44.0,91.0,95.0,1008.0,8.0,,7.1,1,1
45793,-0.3,17.5,0.0,1.6,8.4,39.0,6.0,15.0,81.0,48.0,1021.8,1.0,5.0,6.2,0,1
29480,6.0,20.2,0.0,2.2,,30.0,9.0,9.0,66.0,37.0,1019.0,8.0,,13.3,0,0
110000,9.1,15.4,10.6,7.4,8.5,,22.0,15.0,72.0,67.0,1001.0,7.0,6.0,11.2,1,1
34034,11.3,19.5,2.4,1.4,2.2,33.0,19.0,11.0,67.0,47.0,1002.4,2.0,7.0,15.1,1,1
30424,14.9,22.8,1.8,2.0,3.3,,15.0,22.0,85.0,71.0,1003.9,8.0,7.0,18.5,1,0
27422,6.7,31.2,0.0,,,43.0,9.0,19.0,41.0,16.0,1015.4,,,21.7,0,0
128834,13.0,21.5,0.0,,,52.0,19.0,31.0,78.0,52.0,1007.5,,,17.5,0,1
25958,16.2,29.5,0.2,,,30.0,2.0,7.0,98.0,97.0,,,,19.2,0,1
22260,20.1,24.5,1.4,5.4,5.2,59.0,31.0,31.0,86.0,82.0,1012.2,7.0,7.0,21.9,1,1
40704,11.2,17.5,7.6,5.2,8.0,43.0,22.0,13.0,75.0,89.0,1029.1,7.0,6.0,14.2,1,1
79542,5.5,16.9,0.0,2.2,0.9,39.0,15.0,13.0,78.0,59.0,1021.3,7.0,7.0,12.7,0,1
117254,6.9,19.1,0.0,,5.7,20.0,6.0,9.0,88.0,68.0,1019.0,,7.0,11.9,0,0
108221,6.0,17.3,0.0,3.8,,54.0,24.0,37.0,65.0,35.0,1009.7,0.0,,9.5,0,0
5239,12.1,21.9,3.4,,,63.0,17.0,26.0,51.0,47.0,1013.8,,,18.2,1,0
39170,7.8,12.7,0.0,1.4,,33.0,11.0,17.0,87.0,75.0,1006.6,8.0,8.0,10.1,0,1
9512,19.3,23.5,0.0,4.6,1.1,37.0,11.0,13.0,81.0,82.0,1015.1,8.0,7.0,21.4,0,1
33861,20.2,29.7,0.0,10.2,8.8,74.0,9.0,31.0,75.0,54.0,1000.2,7.0,3.0,22.3,0,1
83517,14.4,26.9,0.0,6.2,2.8,28.0,4.0,7.0,63.0,54.0,1021.3,,,19.1,0,0
59264,16.3,34.8,0.0,,,41.0,13.0,13.0,55.0,27.0,1011.3,0.0,2.0,23.0,0,0
48126,16.5,22.5,43.0,,,35.0,13.0,19.0,99.0,71.0,1012.4,8.0,8.0,16.9,1,1
62996,9.1,23.2,0.0,5.6,9.9,31.0,13.0,13.0,81.0,41.0,1026.1,1.0,1.0,15.3,0,0
84899,21.7,30.4,0.0,8.0,12.0,31.0,7.0,15.0,59.0,65.0,1008.1,4.0,4.0,27.3,0,0
116738,12.7,39.9,0.0,,12.0,54.0,28.0,7.0,36.0,19.0,1006.8,,,27.1,0,0
71194,20.4,33.2,0.0,5.0,3.7,46.0,9.0,9.0,80.0,93.0,1017.5,7.0,8.0,23.7,0,1
33998,19.8,30.0,0.0,7.2,3.4,44.0,13.0,24.0,54.0,42.0,1009.9,7.0,7.0,23.0,0,1
108265,7.5,18.4,0.0,4.0,,33.0,11.0,9.0,50.0,30.0,1014.3,0.0,,13.0,0,0
40088,8.4,15.4,9.6,8.2,,26.0,13.0,6.0,98.0,81.0,1023.1,7.0,7.0,10.5,1,1
7562,9.8,11.5,7.2,3.4,,44.0,20.0,15.0,96.0,95.0,1006.2,8.0,8.0,10.0,1,1
119239,8.6,16.4,2.0,3.0,1.2,31.0,17.0,9.0,87.0,92.0,1012.5,7.0,7.0,12.4,1,1
133260,0.1,12.0,0.0,,,24.0,2.0,4.0,99.0,80.0,1013.7,,,3.2,0,1
110726,16.3,20.9,0.0,8.0,9.9,,7.0,31.0,65.0,68.0,1014.8,7.0,2.0,18.7,0,0
65652,11.7,17.5,2.0,3.8,3.8,33.0,19.0,13.0,81.0,75.0,1015.0,7.0,7.0,14.1,1,1
109915,6.8,14.5,9.2,3.6,1.1,,7.0,41.0,93.0,92.0,1012.4,8.0,8.0,12.0,1,1
94128,23.4,26.7,8.4,3.0,0.0,28.0,15.0,9.0,96.0,93.0,1010.2,8.0,8.0,23.7,1,1
83685,9.1,17.9,0.0,,,46.0,19.0,22.0,64.0,47.0,1015.5,,,10.1,0,0
51967,15.7,20.2,4.2,,,35.0,9.0,6.0,75.0,76.0,1017.4,,,16.5,1,1
80829,28.1,34.5,0.0,16.4,10.7,50.0,19.0,19.0,31.0,44.0,1006.6,7.0,6.0,29.6,0,0
118963,11.8,18.9,2.8,3.6,6.4,72.0,17.0,30.0,79.0,53.0,1007.3,7.0,7.0,15.2,1,1
43493,16.3,24.3,0.0,,,46.0,20.0,22.0,35.0,73.0,1023.0,,,21.0,0,0
76185,6.0,14.3,0.4,2.4,0.7,48.0,15.0,13.0,92.0,61.0,1024.8,8.0,7.0,9.6,0,0
103724,8.8,25.8,0.0,5.2,10.3,24.0,13.0,11.0,68.0,31.0,1022.4,2.0,2.0,17.7,0,0
91379,21.2,28.8,2.0,,,41.0,22.0,19.0,71.0,69.0,1014.1,,,26.4,1,0
14168,15.9,37.2,0.0,16.4,13.7,41.0,13.0,19.0,23.0,11.0,1008.3,0.0,0.0,27.2,0,0
109301,16.6,18.0,0.0,9.4,0.6,,31.0,22.0,72.0,58.0,1012.7,8.0,8.0,16.8,0,0
52745,5.2,10.7,25.2,,,98.0,39.0,48.0,98.0,98.0,,,,10.3,1,1
143781,24.5,36.5,0.0,16.0,,31.0,4.0,17.0,74.0,,1005.2,5.0,,29.0,0,0
133468,18.6,23.5,0.0,,,28.0,11.0,11.0,86.0,77.0,1013.5,,,19.7,0,1
119291,12.7,23.2,0.0,5.0,10.9,37.0,11.0,22.0,57.0,51.0,1012.8,7.0,3.0,20.1,0,0
37226,14.8,20.1,11.4,4.2,2.9,46.0,20.0,13.0,85.0,78.0,1013.3,6.0,7.0,16.0,1,0
85997,19.1,28.7,4.6,8.8,7.9,35.0,4.0,15.0,86.0,41.0,1017.4,7.0,2.0,22.5,1,0
132733,9.7,16.0,1.2,1.8,9.8,44.0,22.0,22.0,79.0,34.0,1012.1,3.0,2.0,11.5,1,0
885,8.5,14.8,8.8,,,24.0,9.0,11.0,95.0,72.0,1015.6,8.0,1.0,10.9,1,0
9977,10.8,20.0,19.6,4.2,8.1,35.0,11.0,13.0,72.0,41.0,1008.4,1.0,4.0,16.5,1,0
129712,16.2,22.7,0.0,,,30.0,9.0,15.0,69.0,82.0,1010.9,,,19.0,0,1
98161,10.2,16.7,4.0,,9.0,63.0,6.0,31.0,85.0,41.0,1015.9,,,11.5,1,1
67642,8.0,22.9,0.0,5.8,8.5,48.0,33.0,31.0,38.0,22.0,1013.6,2.0,6.0,15.8,0,0
33513,11.2,18.3,0.4,2.2,1.9,37.0,17.0,19.0,79.0,69.0,1028.4,6.0,7.0,12.7,0,1
94846,17.4,28.3,0.0,4.0,8.7,24.0,0.0,17.0,83.0,62.0,1010.0,6.0,5.0,22.5,0,0
67589,5.7,13.6,0.0,3.4,5.6,65.0,43.0,28.0,57.0,49.0,1020.0,7.0,5.0,9.7,0,0
123152,15.4,20.6,5.6,0.8,1.7,35.0,4.0,9.0,96.0,79.0,1015.5,7.0,7.0,16.7,1,1
39334,14.4,34.5,0.0,,,37.0,20.0,15.0,40.0,18.0,1009.6,,8.0,24.5,0,0
119535,9.2,17.8,3.8,2.2,2.4,33.0,11.0,11.0,95.0,94.0,1018.8,7.0,6.0,12.2,1,1
38238,21.7,30.9,0.0,10.8,4.7,56.0,9.0,19.0,50.0,35.0,998.6,7.0,7.0,24.0,0,1
131610,1.3,13.0,0.0,2.0,7.4,37.0,26.0,15.0,89.0,51.0,1000.3,,,2.4,0,1
27255,14.4,25.9,0.0,9.6,,50.0,4.0,22.0,86.0,48.0,1021.4,,,19.5,0,1
77557,9.2,29.4,0.0,4.0,7.3,33.0,11.0,15.0,54.0,26.0,1015.5,3.0,3.0,17.7,0,0
51883,22.0,29.3,0.0,,,33.0,9.0,19.0,42.0,40.0,1006.5,,,25.6,0,1
463,15.7,22.4,6.2,,,46.0,20.0,17.0,90.0,67.0,1015.9,8.0,8.0,16.3,1,0
121836,11.2,24.7,0.0,5.6,11.5,39.0,9.0,24.0,55.0,51.0,1016.3,1.0,7.0,21.4,0,0
58438,9.7,17.0,0.0,1.2,,65.0,30.0,26.0,71.0,53.0,1006.3,7.0,7.0,11.6,0,0
56823,6.8,14.2,0.2,,,39.0,24.0,22.0,79.0,67.0,1019.1,8.0,8.0,10.5,0,0
100638,18.3,22.2,1.8,9.8,5.6,61.0,28.0,35.0,94.0,59.0,998.6,8.0,7.0,18.3,1,1
83408,14.1,23.9,8.8,0.4,1.1,28.0,7.0,9.0,96.0,71.0,1003.9,,,17.0,1,1
111228,10.5,13.2,5.8,2.2,,,56.0,,79.0,,1023.3,8.0,,13.8,1,0
83485,15.9,30.3,0.0,8.0,11.5,30.0,6.0,17.0,71.0,32.0,1009.3,,,19.4,0,1
98911,15.5,23.6,0.0,,,30.0,9.0,13.0,74.0,47.0,1014.2,,,17.8,0,0
74748,9.4,21.7,0.0,,,39.0,19.0,22.0,81.0,52.0,1011.8,,,13.0,0,0
28766,-0.4,21.2,0.0,3.0,,39.0,0.0,22.0,76.0,25.0,1016.1,,,8.1,0,0
130248,8.7,20.4,0.2,2.2,7.5,54.0,20.0,31.0,70.0,37.0,1002.0,4.0,6.0,10.7,0,0
59996,12.8,27.5,3.6,2.0,,44.0,7.0,17.0,94.0,38.0,1013.6,,,15.4,1,0
131391,12.6,18.1,0.0,2.8,3.5,30.0,4.0,19.0,81.0,69.0,1007.7,,,13.7,0,1
122011,18.6,20.6,6.4,3.4,0.0,17.0,0.0,2.0,96.0,92.0,1014.0,8.0,8.0,19.3,1,1
68817,13.9,29.1,0.0,7.4,12.2,31.0,9.0,15.0,66.0,27.0,1019.6,,,17.6,0,0
123693,14.9,26.6,0.0,7.6,12.5,50.0,20.0,17.0,52.0,26.0,1009.9,6.0,2.0,17.6,0,1
114186,16.2,19.3,2.2,,,28.0,0.0,9.0,100.0,92.0,1013.3,,,17.4,1,1
118679,15.0,29.4,0.0,8.0,13.0,33.0,9.0,22.0,50.0,31.0,1007.9,6.0,1.0,24.9,0,0
36856,12.9,25.3,0.0,5.2,1.6,43.0,24.0,19.0,52.0,57.0,1022.2,7.0,7.0,19.0,0,0
88891,24.0,31.3,0.0,6.8,7.5,37.0,13.0,26.0,63.0,60.0,1014.1,5.0,3.0,27.5,0,1
143277,26.5,40.5,0.0,9.2,,,6.0,19.0,50.0,,1007.8,0.0,,32.5,0,0
119218,14.9,21.8,15.8,2.0,3.4,46.0,6.0,33.0,96.0,69.0,1014.0,8.0,7.0,16.6,1,1
89336,23.3,29.4,89.0,,1.7,33.0,17.0,17.0,98.0,84.0,1007.9,8.0,7.0,23.6,1,1
94056,24.3,30.4,3.0,6.4,6.2,30.0,2.0,22.0,71.0,71.0,1003.0,7.0,7.0,28.4,1,1
55871,14.1,20.0,0.0,,,61.0,35.0,31.0,81.0,63.0,1017.0,6.0,1.0,15.1,0,1
55518,12.5,31.0,0.0,,,41.0,2.0,26.0,68.0,27.0,1008.6,2.0,,17.5,0,0
137648,3.5,19.1,0.0,3.0,3.3,33.0,2.0,9.0,45.0,21.0,1020.1,7.0,7.0,10.3,0,0
54396,-1.2,2.6,0.0,,,54.0,17.0,17.0,98.0,80.0,,,,0.8,0,1
11988,15.4,23.9,10.4,,,30.0,13.0,13.0,84.0,63.0,1022.2,8.0,7.0,19.1,1,0
87274,25.0,31.5,0.0,5.0,6.7,28.0,0.0,17.0,77.0,73.0,1007.3,7.0,7.0,28.2,0,1
5995,10.8,17.8,0.0,,,31.0,17.0,7.0,58.0,59.0,1027.3,,,15.1,0,0
49732,10.6,24.5,0.0,,,37.0,9.0,15.0,71.0,54.0,1017.5,,,20.0,0,1
30139,14.4,22.0,10.6,,,19.0,11.0,4.0,99.0,66.0,1015.4,8.0,,16.4,1,0
94564,17.7,24.1,0.0,6.8,0.5,54.0,19.0,31.0,69.0,58.0,1017.0,8.0,7.0,20.1,0,0
60797,4.0,12.7,0.0,,,28.0,13.0,11.0,97.0,86.0,1001.7,8.0,8.0,8.4,0,0
89549,15.8,26.3,0.0,4.0,8.6,41.0,19.0,24.0,65.0,51.0,1014.2,2.0,1.0,22.5,0,0
130836,11.0,19.6,0.0,5.4,2.5,43.0,6.0,6.0,66.0,49.0,1021.3,,,12.8,0,0
16534,20.2,23.8,38.6,,,,4.0,4.0,95.0,95.0,,8.0,8.0,22.0,1,1
101511,4.4,13.2,0.0,0.8,1.8,28.0,9.0,19.0,77.0,60.0,1025.4,7.0,7.0,9.8,0,0
15952,9.9,17.2,0.0,,,,7.0,0.0,88.0,65.0,,6.0,8.0,12.2,0,1
63424,9.9,13.1,1.6,,,,22.0,20.0,93.0,94.0,1022.5,8.0,8.0,10.2,1,1
137006,-2.0,20.6,0.0,4.0,10.3,,2.0,11.0,43.0,12.0,1019.1,0.0,0.0,7.3,0,0
41616,19.3,30.7,4.2,6.8,7.5,63.0,0.0,37.0,80.0,97.0,1008.6,4.0,6.0,23.6,1,1
96781,10.8,17.8,0.0,,10.1,35.0,2.0,19.0,63.0,55.0,1025.7,,,14.7,0,0
123251,16.9,25.6,0.0,7.8,12.5,44.0,15.0,24.0,61.0,49.0,1013.0,5.0,1.0,22.4,0,0
39534,-1.3,14.6,0.0,,,17.0,13.0,9.0,84.0,55.0,1025.5,,6.0,4.6,0,0
19503,14.2,22.1,0.0,,,57.0,13.0,33.0,58.0,54.0,1014.4,,,17.8,0,1
7142,19.2,24.5,7.0,1.2,,52.0,28.0,22.0,90.0,87.0,1000.3,8.0,8.0,20.0,1,1
54582,10.9,19.4,12.8,,,41.0,9.0,7.0,98.0,77.0,,,,11.8,1,0
112810,8.9,19.9,6.4,,,31.0,11.0,13.0,,,1018.1,,,15.5,1,1
60688,12.5,28.7,0.0,,,31.0,17.0,15.0,67.0,32.0,1008.2,4.0,,16.6,0,0
39870,19.0,33.4,0.0,12.6,11.1,69.0,28.0,41.0,16.0,12.0,997.7,0.0,1.0,26.9,0,0
79633,14.1,24.0,0.0,8.4,0.6,69.0,24.0,28.0,35.0,30.0,1002.6,7.0,7.0,19.5,0,1
17552,19.0,27.0,14.4,,,,0.0,,91.0,,,7.0,,23.0,1,1
110472,13.3,22.0,0.0,3.0,7.5,,9.0,7.0,79.0,80.0,1012.3,5.0,7.0,16.1,0,1
126506,9.9,13.4,0.0,,,24.0,13.0,9.0,45.0,61.0,,,,11.2,0,1
58457,11.7,20.4,0.0,3.6,,56.0,19.0,24.0,69.0,36.0,998.7,7.0,7.0,13.1,0,1
133048,9.6,19.1,0.0,5.6,,37.0,9.0,20.0,58.0,51.0,1001.3,,,14.6,0,1
15896,22.5,38.2,0.4,,,,9.0,9.0,52.0,25.0,,2.0,5.0,29.5,0,1
86494,10.6,21.6,0.2,4.0,6.6,31.0,6.0,15.0,77.0,58.0,1028.5,7.0,7.0,15.3,0,1
56272,17.0,25.4,3.6,,,69.0,31.0,44.0,98.0,66.0,1005.9,7.0,1.0,17.9,1,1
107759,11.4,19.8,0.0,48.0,,61.0,43.0,39.0,59.0,26.0,1013.6,2.0,4.0,16.1,0,0
4763,16.5,29.5,0.0,,,33.0,4.0,19.0,71.0,44.0,1021.6,,,21.7,0,0
133983,11.1,13.6,0.4,,,54.0,20.0,31.0,80.0,69.0,1014.5,,,11.9,0,0
86525,15.3,22.4,0.4,3.0,2.6,31.0,2.0,13.0,76.0,77.0,1024.1,7.0,8.0,18.5,0,1
85052,9.5,15.5,0.0,2.4,0.0,17.0,4.0,4.0,68.0,65.0,1017.8,8.0,8.0,12.1,0,1
29952,16.5,26.4,0.0,26.0,,63.0,22.0,15.0,45.0,30.0,1003.2,7.0,5.0,21.3,0,1
108670,16.8,26.0,0.0,6.2,10.6,,6.0,31.0,85.0,64.0,1012.2,2.0,4.0,20.7,0,0
142836,8.6,29.1,0.0,6.4,,31.0,15.0,9.0,,,1015.0,0.0,0.0,16.9,0,0
40764,5.9,16.6,3.8,3.4,,31.0,15.0,22.0,80.0,75.0,1022.4,3.0,6.0,9.4,1,1
117299,12.6,15.4,4.2,,5.7,69.0,35.0,30.0,74.0,85.0,1023.3,8.0,7.0,13.9,1,1
11821,12.0,20.2,5.4,,,57.0,24.0,28.0,41.0,48.0,1015.9,,,16.0,1,0
15216,14.4,21.3,10.0,,,,37.0,15.0,62.0,54.0,,5.0,7.0,20.1,1,1
89733,25.9,32.3,0.0,6.2,2.9,33.0,11.0,20.0,73.0,79.0,1001.0,7.0,7.0,30.3,0,1
126216,9.7,21.4,10.0,,,37.0,15.0,20.0,73.0,50.0,,,,14.4,1,0
77911,8.6,14.6,14.8,,,78.0,26.0,37.0,81.0,61.0,1011.7,8.0,7.0,10.8,1,1
99454,12.0,17.4,3.8,,,20.0,6.0,11.0,96.0,66.0,1027.0,,,13.8,1,1
132168,15.7,20.6,1.0,6.4,0.0,24.0,6.0,9.0,83.0,95.0,1022.6,8.0,8.0,16.4,0,1
26422,10.8,19.1,0.0,,,15.0,2.0,7.0,92.0,51.0,,,,12.5,0,0
143761,24.3,35.3,0.4,,,30.0,4.0,9.0,78.0,,1007.4,3.0,,28.2,0,1
94281,21.5,28.0,0.0,7.2,9.0,43.0,24.0,31.0,61.0,54.0,1013.9,5.0,2.0,25.6,0,0
59915,10.9,21.8,0.0,11.2,,50.0,28.0,28.0,52.0,34.0,1016.8,3.0,2.0,14.0,0,0
24483,23.1,36.7,0.0,,,33.0,11.0,9.0,39.0,26.0,,,,28.4,0,0
41405,14.1,22.9,21.0,5.6,,41.0,20.0,19.0,88.0,61.0,1021.8,4.0,4.0,15.3,1,1
44562,10.3,15.4,8.0,,,56.0,41.0,11.0,75.0,81.0,1023.2,4.0,8.0,13.6,1,1
111347,13.1,23.0,3.0,3.8,,,13.0,,89.0,,1005.6,4.0,,15.5,1,1
56187,9.8,21.5,0.0,,,46.0,22.0,20.0,78.0,62.0,1015.6,6.0,,12.1,0,0
44719,21.3,23.9,0.0,,,56.0,31.0,20.0,77.0,80.0,1024.9,7.0,8.0,22.5,0,1
46898,4.7,13.5,10.4,3.2,7.3,80.0,26.0,33.0,92.0,39.0,1011.0,4.0,4.0,9.6,1,1
42465,14.2,22.8,10.6,,,37.0,15.0,24.0,92.0,58.0,1022.3,5.0,2.0,17.2,1,1
61736,0.1,12.4,0.2,0.8,6.8,20.0,6.0,15.0,98.0,66.0,1027.6,8.0,1.0,1.7,0,0
27353,-1.1,12.7,0.0,7.0,,17.0,0.0,9.0,99.0,61.0,1017.7,,,3.3,0,0
101352,7.4,23.4,0.0,4.4,8.8,37.0,11.0,17.0,73.0,44.0,1018.4,7.0,7.0,14.8,0,0
30603,20.1,25.1,5.0,2.6,7.9,,0.0,24.0,92.0,73.0,1016.9,6.0,5.0,21.4,1,1
77042,11.5,29.3,1.8,6.6,11.2,61.0,20.0,37.0,70.0,52.0,1004.6,7.0,1.0,17.3,1,0
129698,12.0,27.3,0.0,,,46.0,17.0,24.0,57.0,49.0,1008.4,,,19.9,0,0
70594,6.2,24.9,0.0,5.6,7.5,44.0,22.0,24.0,37.0,17.0,1006.8,6.0,5.0,11.3,0,0
47358,11.1,14.6,0.0,10.0,0.2,33.0,9.0,9.0,85.0,85.0,1011.0,8.0,8.0,12.6,0,1
48331,-5.3,8.9,0.0,,,48.0,0.0,31.0,86.0,50.0,1018.7,,,0.1,0,0
73271,12.2,35.7,0.0,,,41.0,13.0,13.0,34.0,12.0,1009.6,5.0,,20.3,0,0
10391,13.0,20.7,3.4,3.0,9.6,30.0,19.0,17.0,56.0,49.0,1019.4,1.0,1.0,19.4,1,0
89256,18.3,30.9,0.0,11.0,10.9,43.0,19.0,28.0,51.0,42.0,1013.5,1.0,1.0,26.4,0,0
130992,8.5,23.9,0.0,1.4,6.1,44.0,9.0,20.0,59.0,37.0,998.6,,,14.7,0,1
16503,18.8,32.5,1.2,,,,4.0,19.0,64.0,71.0,,5.0,7.0,26.6,1,1
